smiles,pKa,source
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Sc3ccc(C(F)(F)F)cc3)cc2)cc1,9.02,chembl26.sdf.gz
Oc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,9.23,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,9.01,chembl26.sdf.gz
Oc1ccc(OC(=S)Nc2ccc(Oc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,9.24,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Oc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,9.02,chembl26.sdf.gz
Oc1ccc(OC(=S)Nc2ccc(Sc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,9.22,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Sc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,9.01,chembl26.sdf.gz
CCNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,8.62,chembl26.sdf.gz
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.3,chembl26.sdf.gz
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,chembl26.sdf.gz
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,chembl26.sdf.gz
C=CCN(Cc1nccs1)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,chembl26.sdf.gz
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,chembl26.sdf.gz
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,9.5,chembl26.sdf.gz
NC[C@@H]1C[C@@]1(C(=O)N1Cc2ccccc2C1)c1cccs1,9.5,chembl26.sdf.gz
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@H]1CN,9.6,chembl26.sdf.gz
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,10.1,chembl26.sdf.gz
CCOP(=O)(SC(C)CC)N1CCOC1=O,11.8,chembl26.sdf.gz
CCOP(=O)(SC(C)CC)N1CCSC1=O,11.6,chembl26.sdf.gz
CCOP(=O)(SC(C)CC)N1OCCC1=O,10.5,chembl26.sdf.gz
CCOP(=O)(SC(C)CC)N1C(=O)CCC1=O,9.6,chembl26.sdf.gz
Cc1cc(-c2cnc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2)ccc1C(=O)N1CCN(C)CC1,3.9,chembl26.sdf.gz
CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1,4.5,chembl26.sdf.gz
CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3)cn2)CC1,3.6,chembl26.sdf.gz
Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,5.5,chembl26.sdf.gz
CC(=O)NS(=O)(=O)c1ccc(N)cc1,5.78,chembl26.sdf.gz
CCOc1noc2c1CNCC2.Cl,7.6,chembl26.sdf.gz
Br.Oc1noc2c1CNCC2,4.3,chembl26.sdf.gz
COc1noc2c1CNCC2.Cl,7.5,chembl26.sdf.gz
Nc1ccc(S(=O)(=O)c2ccc(O)cc2O)cc1,10.14,chembl26.sdf.gz
CC(C)C(=O)N(Cc1cccc(Cl)c1Cl)[C@H]1CCNC1,9.4,chembl26.sdf.gz
c1cnc2nccn2c1,4.9,chembl26.sdf.gz
CC(C)(O)c1ccn2ccnc2n1,5.4,chembl26.sdf.gz
C[C@@H](C(=O)O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,4.0,chembl26.sdf.gz
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,7.2,chembl26.sdf.gz
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CCOC(N)=N1,9.8,chembl26.sdf.gz
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=COC(N)=N1,7.7,chembl26.sdf.gz
CC1=COC(N)=N[C@]1(C)c1cc(NC(=O)c2ccc(C#N)cn2)ccc1F,8.0,chembl26.sdf.gz
CC1=C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O1,7.9,chembl26.sdf.gz
CC1=C[C@@](CF)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O1,6.3,chembl26.sdf.gz
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=C(CF)OC(N)=N1,6.9,chembl26.sdf.gz
N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(C4CC4)C=C(CF)OC(N)=N3)c2)nc1,6.8,chembl26.sdf.gz
