smiles,n_atoms,mw,src
Nc1ncccc1O,8,110.11599999999999,datawarrior.sdf.gz
NC(=O)[C@@H]1CCCN1,8,114.148,datawarrior.sdf.gz
O=CN1CCNCC1,8,114.14800000000001,datawarrior.sdf.gz
COc1cnccn1,8,110.11599999999999,datawarrior.sdf.gz
Cc1cc([O-])[nH+]cn1,8,110.116,datawarrior.sdf.gz
Cc1cc[nH+]c([O-])n1,8,110.11599999999997,datawarrior.sdf.gz
C[n+]1cccnc1[O-],8,111.12399999999997,datawarrior.sdf.gz
C[n+]1cnccc1[O-],8,111.124,datawarrior.sdf.gz
Nc1cc[n+]([O-])cc1,8,110.116,datawarrior.sdf.gz
C[n+]1cc(O)ccn1,8,111.124,datawarrior.sdf.gz
N[n+]1ccccc1O,8,111.12399999999998,datawarrior.sdf.gz
Cc1cc([O-])ncn1,8,110.116,datawarrior.sdf.gz
C[n+]1ccncc1O,8,111.124,datawarrior.sdf.gz
C[n+]1ccc(O)nc1,8,111.124,datawarrior.sdf.gz
Cc1ccnc([O-])n1,8,110.11599999999997,datawarrior.sdf.gz
Nc1cccc[n+]1O,8,111.12399999999998,datawarrior.sdf.gz
CCc1nsc(O)n1,8,130.17199999999997,datawarrior.sdf.gz
[O-]c1ccnc([S-])n1,8,128.15599999999998,datawarrior.sdf.gz
Oc1ccnc([Se-])[nH+]1,8,175.049,datawarrior.sdf.gz
[O-]c1ccnc([S-])[nH+]1,8,128.15599999999998,datawarrior.sdf.gz
C[C@H]1CCCC[C@@H]1N,8,113.20400000000001,datawarrior.sdf.gz
CC1=CN(C)CC1C,8,111.18799999999997,datawarrior.sdf.gz
CCN1CCCC1C,8,113.204,datawarrior.sdf.gz
CC(C)N1CCCC1,8,113.204,datawarrior.sdf.gz
CC1CCCCN1C,8,113.204,datawarrior.sdf.gz
CCC1CCCN1C,8,113.204,datawarrior.sdf.gz
Clc1cncc(Cl)c1,8,147.992,datawarrior.sdf.gz
C[n+]1cccc(S)c1,8,126.20399999999998,datawarrior.sdf.gz
C[n+]1ccccc1S,8,126.20399999999997,datawarrior.sdf.gz
O=C(O)c1cc[nH]c1,8,111.09999999999998,datawarrior.sdf.gz
O/N=C\c1ccco1,8,111.1,datawarrior.sdf.gz
O/N=C/c1ccco1,8,111.1,datawarrior.sdf.gz
[O-]c1ccnc([O-])c1,8,111.09999999999998,datawarrior.sdf.gz
[O-]c1cc[nH+]cc1O,8,111.09999999999998,datawarrior.sdf.gz
[O-]c1cccc[n+]1O,8,112.10799999999998,datawarrior.sdf.gz
[O-]c1cc(O)cc[nH+]1,8,111.1,datawarrior.sdf.gz
O=C(O)C1CCC[NH2+]1,8,115.132,datawarrior.sdf.gz
O=C(O)[C@@H]1CCC[NH2+]1,8,115.132,datawarrior.sdf.gz
O=C([O-])C1CCCN1,8,115.132,datawarrior.sdf.gz
O=C([O-])[C@@H]1CCCN1,8,115.132,datawarrior.sdf.gz
Oc1cc[nH+]c(O)c1,8,111.09999999999998,datawarrior.sdf.gz
Oc1cc[nH+]cc1O,8,111.09999999999998,datawarrior.sdf.gz
O=C([O-])C1CCNC1,8,115.13200000000002,datawarrior.sdf.gz
O=C(O)C1CC[NH2+]C1,8,115.13200000000002,datawarrior.sdf.gz
Oc1cccc[n+]1O,8,112.10799999999998,datawarrior.sdf.gz
O=[N+](O)C1=CC=CC1,8,112.10799999999998,datawarrior.sdf.gz
Oc1cc[n+](O)cc1,8,112.10799999999999,datawarrior.sdf.gz
O=C1CC(S)C(=O)N1,8,131.156,datawarrior.sdf.gz
O=C(O)c1cncs1,8,129.14000000000001,datawarrior.sdf.gz
O=C(O)c1cscn1,8,129.14000000000001,datawarrior.sdf.gz
O=C(O)c1nccs1,8,129.14,datawarrior.sdf.gz
O=C(O)[C@@H]1CSC[NH2+]1,8,133.172,datawarrior.sdf.gz
O=C([O-])C1CSCN1,8,133.172,datawarrior.sdf.gz
O=C([O-])[C@@H]1CSCN1,8,133.172,datawarrior.sdf.gz
N[C@H]1CCCC[C@@H]1O,8,115.176,datawarrior.sdf.gz
N[C@@H]1CCCC[C@@H]1O,8,115.176,datawarrior.sdf.gz
N[C@H]1CCC[C@H](O)C1,8,115.176,datawarrior.sdf.gz
N[C@@H]1CCC[C@H](O)C1,8,115.176,datawarrior.sdf.gz
ONc1ccccc1,8,109.12799999999997,datawarrior.sdf.gz
Cc1noc(C)c1C,8,111.14399999999998,datawarrior.sdf.gz
CCN1CCOCC1,8,115.176,datawarrior.sdf.gz
O=Cc1ccccn1,8,107.11199999999997,datawarrior.sdf.gz
C[n+]1ccccc1O,8,110.13599999999998,datawarrior.sdf.gz
[O-]c1cccc(Cl)n1,8,129.546,datawarrior.sdf.gz
[O-]c1ccncc1Br,8,173.997,datawarrior.sdf.gz
O=C1CCC(=O)N1O,8,115.08799999999998,datawarrior.sdf.gz
O=C(O)c1cnoc1,8,113.07199999999999,datawarrior.sdf.gz
CCNc1nnn[nH]1,8,113.124,datawarrior.sdf.gz
CN(C)c1nnn[nH]1,8,113.124,datawarrior.sdf.gz
Cn1n[n+](C)nc1N,8,114.132,datawarrior.sdf.gz
CC([NH3+])c1nnn[nH]1,8,113.124,datawarrior.sdf.gz
CC(N)c1nnn[n-]1,8,113.124,datawarrior.sdf.gz
[NH3+]CCc1nnn[nH]1,8,113.12400000000001,datawarrior.sdf.gz
Nc1ccncc1N,8,109.132,datawarrior.sdf.gz
Cn1cccnc1=N,8,109.13199999999998,datawarrior.sdf.gz
NCCc1cnc[nH]1,8,111.14800000000001,datawarrior.sdf.gz
[NH3+]CCc1c[nH]cn1,8,111.14800000000002,datawarrior.sdf.gz
[NH3+]CCc1cnc[nH]1,8,111.14800000000001,datawarrior.sdf.gz
Nc1cc[nH+]c([S-])n1,8,127.17199999999998,datawarrior.sdf.gz
Nc1ccnc([S-])n1,8,127.17199999999998,datawarrior.sdf.gz
Nc1cc[nH+]c([O-])n1,8,111.10399999999998,datawarrior.sdf.gz
Nc1nccc([O-])n1,8,111.10400000000001,datawarrior.sdf.gz
Nc1nc(O)cc[nH+]1,8,111.10400000000001,datawarrior.sdf.gz
